A00,Cholera
T48903,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, assault"
T48904,"Poisoning by local antifungal, anti-infective and anti-inflammatory drugs, undetermined"
T48905,"Adverse effect of local antifungal, anti-infective and anti-inflammatory drugs"
T48906,"Underdosing of local antifungal, anti-infective and anti-inflammatory drugs"
T48991,"Poisoning by antipruritics, accidental (unintentional)"
T48992,"Poisoning by antipruritics, intentional self-harm"
T48993,"Poisoning by antipruritics, assault"
T48994,"Poisoning by antipruritics, undetermined"
T48995,Adverse effect of antipruritics
T48996,Underdosing of antipruritics
T490X1,"Poisoning by local astringents and local detergents, accidental (unintentional)"
T490X2,"Poisoning by local astringents and local detergents, intentional self-harm"
T490X3,"Poisoning by local astringents and local detergents, assault"
T490X4,"Poisoning by local astringents and local detergents, undetermined"
T490X5,Adverse effect of local astringents and local detergents
T490X6,Underdosing of local astringents and local detergents
T491X1,"Poisoning by emollients, demulcents and protectants, accidental (unintentional)"
T491X2,"Poisoning by emollients, demulcents and protectants, intentional self-harm"
T491X3,"Poisoning by emollients, demulcents and protectants, assault"
T491X4,"Poisoning by emollients, demulcents and protectants, undetermined"
T491X5,"Adverse effect of emollients, demulcents and protectants"
T491X6,"Underdosing of emollients, demulcents and protectants"
T492X1,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, accidental (unintentional)"
T492X2,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, intentional self-harm"
T492X3,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, assault"
T492X4,"Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, undetermined"
T492X5,"Adverse effect of keratolytics, keratoplastics, and other hair treatment drugs and preparations"
T492X6,"Underdosing of keratolytics, keratoplastics, and other hair treatment drugs and preparations"
T493X1,"Poisoning by ophthalmological drugs and preparations, accidental (unintentional)"
T493X2,"Poisoning by ophthalmological drugs and preparations, intentional self-harm"
T493X3,"Poisoning by ophthalmological drugs and preparations, assault"
T493X4,"Poisoning by ophthalmological drugs and preparations, undetermined"
T493X5,Adverse effect of ophthalmological drugs and preparations
T493X6,Underdosing of ophthalmological drugs and preparations
T494X1,"Poisoning by otorhinolaryngological drugs and preparations, accidental (unintentional)"
T494X2,"Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm"
T494X3,"Poisoning by otorhinolaryngological drugs and preparations, assault"
T494X4,"Poisoning by otorhinolaryngological drugs and preparations, undetermined"
T494X5,Adverse effect of otorhinolaryngological drugs and preparations
T494X6,Underdosing of otorhinolaryngological drugs and preparations
T495X1,"Poisoning by dental drugs, topically applied, accidental (unintentional)"
T495X2,"Poisoning by dental drugs, topically applied, intentional self-harm"
T495X3,"Poisoning by dental drugs, topically applied, assault"
T495X4,"Poisoning by dental drugs, topically applied, undetermined"
T495X5,"Adverse effect of dental drugs, topically applied"
T495X6,"Underdosing of dental drugs, topically applied"
T496X1,"Poisoning by other topical agents, accidental (unintentional)"
T496X2,"Poisoning by other topical agents, intentional self-harm"
T496X3,"Poisoning by other topical agents, assault"
T496X4,"Poisoning by other topical agents, undetermined"
T496X5,Adverse effect of other topical agents
T496X6,Underdosing of other topical agents
T497X1,"Poisoning by unspecified topical agent, accidental (unintentional)"
T497X2,"Poisoning by unspecified topical agent, intentional self-harm"
T497X3,"Poisoning by unspecified topical agent, assault"
T497X4,"Poisoning by unspecified topical agent, undetermined"
T497X5,Adverse effect of unspecified topical agent
T497X6,Underdosing of unspecified topical agent
T498X1,"Poisoning by mineralocorticoids and their antagonists, accidental (unintentional)"
T498X2,"Poisoning by mineralocorticoids and their antagonists, intentional self-harm"
T498X3,"Poisoning by mineralocorticoids and their antagonists, assault"
T498X4,"Poisoning by mineralocorticoids and their antagonists, undetermined"
T498X5,Adverse effect of mineralocorticoids and their antagonists
T498X6,Underdosing of mineralocorticoids and their antagonists
T4991,"Poisoning by loop [high-ceiling] diuretics, accidental (unintentional)"
T4992,"Poisoning by loop [high-ceiling] diuretics, intentional self-harm"
T4993,"Poisoning by loop [high-ceiling] diuretics, assault"
T4994,"Poisoning by loop [high-ceiling] diuretics, undetermined"
T4995,Adverse effect of loop [high-ceiling] diuretics
T4996,Underdosing of loop [high-ceiling] diuretics
T500X1,"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, accidental (unintentional)"
T500X2,"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, intentional self-harm"
T500X3,"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, assault"
T500X4,"Poisoning by carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, undetermined"
T500X5,"Adverse effect of carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics"
T500X6,"Underdosing of carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics"
T501X1,"Poisoning by electrolytic, caloric and water-balance agents, accidental (unintentional)"
T501X2,"Poisoning by electrolytic, caloric and water-balance agents, intentional self-harm"
T501X3,"Poisoning by electrolytic, caloric and water-balance agents, assault"
T501X4,"Poisoning by electrolytic, caloric and water-balance agents, undetermined"
T501X5,"Adverse effect of electrolytic, caloric and water-balance agents"
T501X6,"Underdosing of electrolytic, caloric and water-balance agents"
T502X1,"Poisoning by drugs affecting uric acid metabolism, accidental (unintentional)"
T502X2,"Poisoning by drugs affecting uric acid metabolism, intentional self-harm"
T502X3,"Poisoning by drugs affecting uric acid metabolism, assault"
T502X4,"Poisoning by drugs affecting uric acid metabolism, undetermined"
T502X5,Adverse effect of drugs affecting uric acid metabolism
T502X6,Underdosing of drugs affecting uric acid metabolism
T503X1,"Poisoning by appetite depressants, accidental (unintentional)"
T503X2,"Poisoning by appetite depressants, intentional self-harm"
T503X3,"Poisoning by appetite depressants, assault"
T503X4,"Poisoning by appetite depressants, undetermined"
T503X5,Adverse effect of appetite depressants
T503X6,Underdosing of appetite depressants
T504X1,"Poisoning by antidotes and chelating agents, accidental (unintentional)"
T504X2,"Poisoning by antidotes and chelating agents, intentional self-harm"
T504X3,"Poisoning by antidotes and chelating agents, assault"
T504X4,"Poisoning by antidotes and chelating agents, undetermined"
T504X5,Adverse effect of antidotes and chelating agents
T504X6,Underdosing of antidotes and chelating agents
T505X1,"Poisoning by analeptics and opioid receptor antagonists, accidental (unintentional)"
T505X2,"Poisoning by analeptics and opioid receptor antagonists, intentional self-harm"
T505X3,"Poisoning by analeptics and opioid receptor antagonists, assault"
T505X4,"Poisoning by analeptics and opioid receptor antagonists, undetermined"
T505X5,Adverse effect of analeptics and opioid receptor antagonists
T505X6,Underdosing of analeptics and opioid receptor antagonists
T506X1,"Poisoning by diagnostic agents, accidental (unintentional)"
T506X2,"Poisoning by diagnostic agents, intentional self-harm"
T506X3,"Poisoning by diagnostic agents, assault"
T506X4,"Poisoning by diagnostic agents, undetermined"
T506X5,Adverse effect of diagnostic agents
T506X6,Underdosing of diagnostic agents
T507X1,"Poisoning by pertussis vaccine, including combinations with a pertussis component, accidental (unintentional)"
T507X2,"Poisoning by pertussis vaccine, including combinations with a pertussis component, intentional self-harm"
T507X3,"Poisoning by pertussis vaccine, including combinations with a pertussis component, assault"
T507X4,"Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined"
T507X5,"Adverse effect of pertussis vaccine, including combinations with a pertussis component"
T507X6,"Underdosing of pertussis vaccine, including combinations with a pertussis component"
T508X1,"Poisoning by mixed bacterial vaccines without a pertussis component, accidental (unintentional)"
T508X2,"Poisoning by mixed bacterial vaccines without a pertussis component, intentional self-harm"
T508X3,"Poisoning by mixed bacterial vaccines without a pertussis component, assault"
T508X4,"Poisoning by mixed bacterial vaccines without a pertussis component, undetermined"
T508X5,Adverse effect of mixed bacterial vaccines without a pertussis component
T508X6,Underdosing of mixed bacterial vaccines without a pertussis component
T50901,"Poisoning by other bacterial vaccines, accidental (unintentional)"
T50902,"Poisoning by other bacterial vaccines, intentional self-harm"
T50903,"Poisoning by other bacterial vaccines, assault"
T50904,"Poisoning by other bacterial vaccines, undetermined"
T50905,Adverse effect of other bacterial vaccines
T50906,Underdosing of other bacterial vaccines
T50991,"Poisoning by smallpox vaccines, accidental (unintentional)"
T50992,"Poisoning by smallpox vaccines, intentional self-harm"
T50993,"Poisoning by smallpox vaccines, assault"
T50994,"Poisoning by smallpox vaccines, undetermined"
T50995,Adverse effect of smallpox vaccines
T50996,Underdosing of smallpox vaccines
T50A11,"Poisoning by other viral vaccines, accidental (unintentional)"
T50A12,"Poisoning by other viral vaccines, intentional self-harm"
T50A13,"Poisoning by other viral vaccines, assault"
T50A14,"Poisoning by other viral vaccines, undetermined"
T50A15,Adverse effect of other viral vaccines
T50A16,Underdosing of other viral vaccines
T50A21,"Poisoning by immunoglobulin, accidental (unintentional)"
T50A22,"Poisoning by immunoglobulin, intentional self-harm"
T50A23,"Poisoning by immunoglobulin, assault"
T50A24,"Poisoning by immunoglobulin, undetermined"
T50A25,Adverse effect of immunoglobulin
T50A26,Underdosing of immunoglobulin
T50A91,"Poisoning by other vaccines and biological substances, accidental (unintentional)"
T50A92,"Poisoning by other vaccines and biological substances, intentional self-harm"
T50A93,"Poisoning by other vaccines and biological substances, assault"
T50A94,"Poisoning by other vaccines and biological substances, undetermined"
T50A95,Adverse effect of other vaccines and biological substances
T50A96,Underdosing of other vaccines and biological substances
T50B11,"Poisoning by unspecified drugs, medicaments and biological substances, accidental (unintentional)"
T50B12,"Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm"
T50B13,"Poisoning by unspecified drugs, medicaments and biological substances, assault"
T50B14,"Poisoning by unspecified drugs, medicaments and biological substances, undetermined"
T50B15,"Adverse effect of unspecified drugs, medicaments and biological substances"
T50B16,"Underdosing of unspecified drugs, medicaments and biological substances"
T50B91,"Poisoning by other drugs, medicaments and biological substances, accidental (unintentional)"
T50B92,"Poisoning by other drugs, medicaments and biological substances, intentional self-harm"
T50B93,"Poisoning by other drugs, medicaments and biological substances, assault"
T50B94,"Poisoning by other drugs, medicaments and biological substances, undetermined"
T50B95,"Adverse effect of other drugs, medicaments and biological substances"
T50B96,"Underdosing of other drugs, medicaments and biological substances"
T50Z11,"Toxic effect of ethanol, accidental (unintentional)"
T50Z12,"Toxic effect of ethanol, intentional self-harm"
T50Z13,"Toxic effect of ethanol, assault"
T50Z14,"Toxic effect of ethanol, undetermined"
T50Z15,"Toxic effect of methanol, accidental (unintentional)"
T50Z16,"Toxic effect of methanol, intentional self-harm"
T50Z91,"Toxic effect of methanol, assault"
T50Z92,"Toxic effect of methanol, undetermined"
T50Z93,"Toxic effect of 2-Propanol, accidental (unintentional)"
T50Z94,"Toxic effect of 2-Propanol, intentional self-harm"
T50Z95,"Toxic effect of 2-Propanol, assault"
T50Z96,"Toxic effect of 2-Propanol, undetermined"
T510X1,"Toxic effect of fusel oil, accidental (unintentional)"
T510X2,"Toxic effect of fusel oil, intentional self-harm"
T510X3,"Toxic effect of fusel oil, assault"
T510X4,"Toxic effect of fusel oil, undetermined"
T511X1,"Toxic effect of other alcohols, accidental (unintentional)"
T511X2,"Toxic effect of other alcohols, intentional self-harm"
T511X3,"Toxic effect of other alcohols, assault"
T511X4,"Toxic effect of other alcohols, undetermined"
T512X1,"Toxic effect of unspecified alcohol, accidental (unintentional)"
T512X2,"Toxic effect of unspecified alcohol, intentional self-harm"
T512X3,"Toxic effect of unspecified alcohol, assault"
T512X4,"Toxic effect of unspecified alcohol, undetermined"
T513X1,"Toxic effect of petroleum products, accidental (unintentional)"
T513X2,"Toxic effect of petroleum products, intentional self-harm"
T513X3,"Toxic effect of petroleum products, assault"
T513X4,"Toxic effect of petroleum products, undetermined"
T518X1,"Toxic effect of benzene, accidental (unintentional)"
T518X2,"Toxic effect of benzene, intentional self-harm"
T518X3,"Toxic effect of benzene, assault"
T518X4,"Toxic effect of benzene, undetermined"
T5191,"Toxic effect of homologues of benzene, accidental (unintentional)"
T5192,"Toxic effect of homologues of benzene, intentional self-harm"
T5193,"Toxic effect of homologues of benzene, assault"
T5194,"Toxic effect of homologues of benzene, undetermined"
T520X1,"Toxic effect of glycols, accidental (unintentional)"
T520X2,"Toxic effect of glycols, intentional self-harm"
T520X3,"Toxic effect of glycols, assault"
T520X4,"Toxic effect of glycols, undetermined"
T521X1,"Toxic effect of ketones, accidental (unintentional)"
T521X2,"Toxic effect of ketones, intentional self-harm"
T521X3,"Toxic effect of ketones, assault"
T521X4,"Toxic effect of ketones, undetermined"
T522X1,"Toxic effect of other organic solvents, accidental (unintentional)"
T522X2,"Toxic effect of other organic solvents, intentional self-harm"
T522X3,"Toxic effect of other organic solvents, assault"
T522X4,"Toxic effect of other organic solvents, undetermined"
T523X1,"Toxic effect of unspecified organic solvent, accidental (unintentional)"
T523X2,"Toxic effect of unspecified organic solvent, intentional self-harm"
T523X3,"Toxic effect of unspecified organic solvent, assault"
T523X4,"Toxic effect of unspecified organic solvent, undetermined"
T524X1,"Toxic effect of carbon tetrachloride, accidental (unintentional)"
T524X2,"Toxic effect of carbon tetrachloride, intentional self-harm"
T524X3,"Toxic effect of carbon tetrachloride, assault"
T524X4,"Toxic effect of carbon tetrachloride, undetermined"
T528X1,"Toxic effect of chloroform, accidental (unintentional)"
T528X2,"Toxic effect of chloroform, intentional self-harm"
T528X3,"Toxic effect of chloroform, assault"
T528X4,"Toxic effect of chloroform, undetermined"
T5291,"Toxic effect of trichloroethylene, accidental (unintentional)"
T5292,"Toxic effect of trichloroethylene, intentional self-harm"
T5293,"Toxic effect of trichloroethylene, assault"
T5294,"Toxic effect of trichloroethylene, undetermined"
T530X1,"Toxic effect of tetrachloroethylene, accidental (unintentional)"
T530X2,"Toxic effect of tetrachloroethylene, intentional self-harm"
T530X3,"Toxic effect of tetrachloroethylene, assault"
T530X4,"Toxic effect of tetrachloroethylene, undetermined"
T531X1,"Toxic effect of dichloromethane, accidental (unintentional)"
T531X2,"Toxic effect of dichloromethane, intentional self-harm"
T531X3,"Toxic effect of dichloromethane, assault"
T531X4,"Toxic effect of dichloromethane, undetermined"
T532X1,"Toxic effect of chlorofluorocarbons, accidental (unintentional)"
T532X2,"Toxic effect of chlorofluorocarbons, intentional self-harm"
T532X3,"Toxic effect of chlorofluorocarbons, assault"
T532X4,"Toxic effect of chlorofluorocarbons, undetermined"
T533X1,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, accidental (unintentional)"
T533X2,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, intentional self-harm"
T533X3,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, assault"
T533X4,"Toxic effect of other halogen derivatives of aliphatic hydrocarbons, undetermined"
T534X1,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, accidental (unintentional)"
T534X2,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, intentional self-harm"
T534X3,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, assault"
T534X4,"Toxic effect of other halogen derivatives of aromatic hydrocarbons, undetermined"
T535X1,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, accidental (unintentional)"
T535X2,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, intentional self-harm"
T535X3,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, assault"
T535X4,"Toxic effect of unspecified halogen derivatives of aliphatic and aromatic hydrocarbons, undetermined"
T536X1,"Toxic effect of phenol and phenol homologues, accidental (unintentional)"
T536X2,"Toxic effect of phenol and phenol homologues, intentional self-harm"
T536X3,"Toxic effect of phenol and phenol homologues, assault"
T536X4,"Toxic effect of phenol and phenol homologues, undetermined"
T537X1,"Toxic effect of other corrosive organic compounds, accidental (unintentional)"
T537X2,"Toxic effect of other corrosive organic compounds, intentional self-harm"
T537X3,"Toxic effect of other corrosive organic compounds, assault"
T537X4,"Toxic effect of other corrosive organic compounds, undetermined"
T5391,"Toxic effect of corrosive acids and acid-like substances, accidental (unintentional)"
T5392,"Toxic effect of corrosive acids and acid-like substances, intentional self-harm"
T5393,"Toxic effect of corrosive acids and acid-like substances, assault"
T5394,"Toxic effect of corrosive acids and acid-like substances, undetermined"
T540X1,"Toxic effect of corrosive alkalis and alkali-like substances, accidental (unintentional)"
T540X2,"Toxic effect of corrosive alkalis and alkali-like substances, intentional self-harm"
T540X3,"Toxic effect of corrosive alkalis and alkali-like substances, assault"
T540X4,"Toxic effect of corrosive alkalis and alkali-like substances, undetermined"
T541X1,"Toxic effect of unspecified corrosive substance, accidental (unintentional)"
T541X2,"Toxic effect of unspecified corrosive substance, intentional self-harm"
T541X3,"Toxic effect of unspecified corrosive substance, assault"
T541X4,"Toxic effect of unspecified corrosive substance, undetermined"
T542X1,"Toxic effect of soaps, accidental (unintentional)"
T542X2,"Toxic effect of soaps, intentional self-harm"
T542X3,"Toxic effect of soaps, assault"
T542X4,"Toxic effect of soaps, undetermined"
T543X1,"Toxic effect of detergents, accidental (unintentional)"
T543X2,"Toxic effect of detergents, intentional self-harm"
T543X3,"Toxic effect of detergents, assault"
T543X4,"Toxic effect of detergents, undetermined"
T5491,"Toxic effect of lead and its compounds, accidental (unintentional)"
T5492,"Toxic effect of lead and its compounds, intentional self-harm"
T5493,"Toxic effect of lead and its compounds, assault"
T5494,"Toxic effect of lead and its compounds, undetermined"
T550X1,"Toxic effect of mercury and its compounds, accidental (unintentional)"
T550X2,"Toxic effect of mercury and its compounds, intentional self-harm"
T550X3,"Toxic effect of mercury and its compounds, assault"
T550X4,"Toxic effect of mercury and its compounds, undetermined"
T551X1,"Toxic effect of chromium and its compounds, accidental (unintentional)"
T551X2,"Toxic effect of chromium and its compounds, intentional self-harm"
T551X3,"Toxic effect of chromium and its compounds, assault"
T551X4,"Toxic effect of chromium and its compounds, undetermined"
T560X1,"Toxic effect of cadmium and its compounds, accidental (unintentional)"
T560X2,"Toxic effect of cadmium and its compounds, intentional self-harm"
T560X3,"Toxic effect of cadmium and its compounds, assault"
T560X4,"Toxic effect of cadmium and its compounds, undetermined"
T561X1,"Toxic effect of copper and its compounds, accidental (unintentional)"
T561X2,"Toxic effect of copper and its compounds, intentional self-harm"
T561X3,"Toxic effect of copper and its compounds, assault"
T561X4,"Toxic effect of copper and its compounds, undetermined"
T562X1,"Toxic effect of zinc and its compounds, accidental (unintentional)"
T562X2,"Toxic effect of zinc and its compounds, intentional self-harm"
T562X3,"Toxic effect of zinc and its compounds, assault"
T562X4,"Toxic effect of zinc and its compounds, undetermined"
T563X1,"Toxic effect of tin and its compounds, accidental (unintentional)"
T563X2,"Toxic effect of tin and its compounds, intentional self-harm"
T563X3,"Toxic effect of tin and its compounds, assault"
T563X4,"Toxic effect of tin and its compounds, undetermined"
T564X1,"Toxic effect of beryllium and its compounds, accidental (unintentional)"
T564X2,"Toxic effect of beryllium and its compounds, intentional self-harm"
T564X3,"Toxic effect of beryllium and its compounds, assault"
T564X4,"Toxic effect of beryllium and its compounds, undetermined"
T565X1,"Toxic effect of thallium, accidental (unintentional)"
T565X2,"Toxic effect of thallium, intentional self-harm"
T565X3,"Toxic effect of thallium, assault"
T565X4,"Toxic effect of thallium, undetermined"
T566X1,"Toxic effect of other metals, accidental (unintentional)"
T566X2,"Toxic effect of other metals, intentional self-harm"
T566X3,"Toxic effect of other metals, assault"
T566X4,"Toxic effect of other metals, undetermined"
T567X1,"Toxic effect of unspecified metal, accidental (unintentional)"
T567X2,"Toxic effect of unspecified metal, intentional self-harm"
T567X3,"Toxic effect of unspecified metal, assault"
T567X4,"Toxic effect of unspecified metal, undetermined"
T56811,"Toxic effect of arsenic and its compounds, accidental (unintentional)"
T56812,"Toxic effect of arsenic and its compounds, intentional self-harm"
T56813,"Toxic effect of arsenic and its compounds, assault"
T56814,"Toxic effect of arsenic and its compounds, undetermined"
T56891,"Toxic effect of phosphorus and its compounds, accidental (unintentional)"
T56892,"Toxic effect of phosphorus and its compounds, intentional self-harm"
T56893,"Toxic effect of phosphorus and its compounds, assault"
T56894,"Toxic effect of phosphorus and its compounds, undetermined"
T5691,"Toxic effect of manganese and its compounds, accidental (unintentional)"
T5692,"Toxic effect of manganese and its compounds, intentional self-harm"
T5693,"Toxic effect of manganese and its compounds, assault"
T5694,"Toxic effect of manganese and its compounds, undetermined"
T570X1,"Toxic effect of hydrogen cyanide, accidental (unintentional)"
T570X2,"Toxic effect of hydrogen cyanide, intentional self-harm"
T570X3,"Toxic effect of hydrogen cyanide, assault"
T570X4,"Toxic effect of hydrogen cyanide, undetermined"
T571X1,"Toxic effect of other specified inorganic substances, accidental (unintentional)"
T571X2,"Toxic effect of other specified inorganic substances, intentional self-harm"
T571X3,"Toxic effect of other specified inorganic substances, assault"
T571X4,"Toxic effect of other specified inorganic substances, undetermined"
T572X1,"Toxic effect of unspecified inorganic substance, accidental (unintentional)"
T572X2,"Toxic effect of unspecified inorganic substance, intentional self-harm"
T572X3,"Toxic effect of unspecified inorganic substance, assault"
T572X4,"Toxic effect of unspecified inorganic substance, undetermined"
T573X1,"Toxic effect of carbon monoxide from motor vehicle exhaust, accidental (unintentional)"
T573X2,"Toxic effect of carbon monoxide from motor vehicle exhaust, intentional self-harm"
T573X3,"Toxic effect of carbon monoxide from motor vehicle exhaust, assault"
T573X4,"Toxic effect of carbon monoxide from motor vehicle exhaust, undetermined"
T578X1,"Toxic effect of carbon monoxide from utility gas, accidental (unintentional)"
T578X2,"Toxic effect of carbon monoxide from utility gas, intentional self-harm"
T578X3,"Toxic effect of carbon monoxide from utility gas, assault"
T578X4,"Toxic effect of carbon monoxide from utility gas, undetermined"
T5791,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, accidental (unintentional)"
T5792,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, intentional self-harm"
T5793,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, assault"
T5794,"Toxic effect of carbon monoxide from incomplete combustion of other domestic fuels, undetermined"
T5801,"Toxic effect of carbon monoxide from other source, accidental (unintentional)"
T5802,"Toxic effect of carbon monoxide from other source, intentional self-harm"
T5803,"Toxic effect of carbon monoxide from other source, assault"
T5804,"Toxic effect of carbon monoxide from other source, undetermined"
T5811,"Toxic effect of carbon monoxide from unspecified source, accidental (unintentional)"
T5812,"Toxic effect of carbon monoxide from unspecified source, intentional self-harm"
T5813,"Toxic effect of carbon monoxide from unspecified source, assault"
T5814,"Toxic effect of carbon monoxide from unspecified source, undetermined"
T582X1,"Toxic effect of nitrogen oxides, accidental (unintentional)"
T582X2,"Toxic effect of nitrogen oxides, intentional self-harm"
T582X3,"Toxic effect of nitrogen oxides, assault"
T582X4,"Toxic effect of nitrogen oxides, undetermined"
T588X1,"Toxic effect of sulfur dioxide, accidental (unintentional)"
T588X2,"Toxic effect of sulfur dioxide, intentional self-harm"
T588X3,"Toxic effect of sulfur dioxide, assault"
T588X4,"Toxic effect of sulfur dioxide, undetermined"
T5891,"Toxic effect of formaldehyde, accidental (unintentional)"
T5892,"Toxic effect of formaldehyde, intentional self-harm"
T5893,"Toxic effect of formaldehyde, assault"
T5894,"Toxic effect of formaldehyde, undetermined"
T590X1,"Toxic effect of lacrimogenic gas, accidental (unintentional)"
T590X2,"Toxic effect of lacrimogenic gas, intentional self-harm"
T590X3,"Toxic effect of lacrimogenic gas, assault"
T590X4,"Toxic effect of lacrimogenic gas, undetermined"
T591X1,"Toxic effect of chlorine gas, accidental (unintentional)"
T591X2,"Toxic effect of chlorine gas, intentional self-harm"
T591X3,"Toxic effect of chlorine gas, assault"
T591X4,"Toxic effect of chlorine gas, undetermined"
T592X1,"Toxic effect of fluorine gas and hydrogen fluoride, accidental (unintentional)"
T592X2,"Toxic effect of fluorine gas and hydrogen fluoride, intentional self-harm"
T592X3,"Toxic effect of fluorine gas and hydrogen fluoride, assault"
T592X4,"Toxic effect of fluorine gas and hydrogen fluoride, undetermined"
T593X1,"Toxic effect of hydrogen sulfide, accidental (unintentional)"
T593X2,"Toxic effect of hydrogen sulfide, intentional self-harm"
T593X3,"Toxic effect of hydrogen sulfide, assault"
T593X4,"Toxic effect of hydrogen sulfide, undetermined"
T594X1,"Toxic effect of carbon dioxide, accidental (unintentional)"
T594X2,"Toxic effect of carbon dioxide, intentional self-harm"
T594X3,"Toxic effect of carbon dioxide, assault"
T594X4,"Toxic effect of carbon dioxide, undetermined"
T595X1,"Toxic effect of smoke, accidental (unintentional)"
T595X2,"Toxic effect of smoke, intentional self-harm"
T595X3,"Toxic effect of smoke, assault"
T595X4,"Toxic effect of smoke, undetermined"
T596X1,"Toxic effect of other specified gases, fumes and vapors, accidental (unintentional)"
T596X2,"Toxic effect of other specified gases, fumes and vapors, intentional self-harm"
T596X3,"Toxic effect of other specified gases, fumes and vapors, assault"
T596X4,"Toxic effect of other specified gases, fumes and vapors, undetermined"
T597X1,"Toxic effect of unspecified gases, fumes and vapors, accidental (unintentional)"
T597X2,"Toxic effect of unspecified gases, fumes and vapors, intentional self-harm"
T597X3,"Toxic effect of unspecified gases, fumes and vapors, assault"
T597X4,"Toxic effect of unspecified gases, fumes and vapors, undetermined"
T59811,"Toxic effect of organophosphate and carbamate insecticides, accidental (unintentional)"
T59812,"Toxic effect of organophosphate and carbamate insecticides, intentional self-harm"
T59813,"Toxic effect of organophosphate and carbamate insecticides, assault"
T59814,"Toxic effect of organophosphate and carbamate insecticides, undetermined"
T59891,"Toxic effect of halogenated insecticides, accidental (unintentional)"
T59892,"Toxic effect of halogenated insecticides, intentional self-harm"
T59893,"Toxic effect of halogenated insecticides, assault"
T59894,"Toxic effect of halogenated insecticides, undetermined"
T5991,"Toxic effect of other insecticides, accidental (unintentional)"
T5992,"Toxic effect of other insecticides, intentional self-harm"
T5993,"Toxic effect of other insecticides, assault"
T5994,"Toxic effect of other insecticides, undetermined"
T600X1,"Toxic effect of herbicides and fungicides, accidental (unintentional)"
T600X2,"Toxic effect of herbicides and fungicides, intentional self-harm"
T600X3,"Toxic effect of herbicides and fungicides, assault"
T600X4,"Toxic effect of herbicides and fungicides, undetermined"
T601X1,"Toxic effect of rodenticides, accidental (unintentional)"
T601X2,"Toxic effect of rodenticides, intentional self-harm"
T601X3,"Toxic effect of rodenticides, assault"
T601X4,"Toxic effect of rodenticides, undetermined"
T602X1,"Toxic effect of other pesticides, accidental (unintentional)"
T602X2,"Toxic effect of other pesticides, intentional self-harm"
T602X3,"Toxic effect of other pesticides, assault"
T602X4,"Toxic effect of other pesticides, undetermined"
T603X1,"Toxic effect of unspecified pesticide, accidental (unintentional)"
T603X2,"Toxic effect of unspecified pesticide, intentional self-harm"
T603X3,"Toxic effect of unspecified pesticide, assault"
T603X4,"Toxic effect of unspecified pesticide, undetermined"
T604X1,"Ciguatera fish poisoning, accidental (unintentional)"
T604X2,"Ciguatera fish poisoning, intentional self-harm"
T604X3,"Ciguatera fish poisoning, assault"
T604X4,"Ciguatera fish poisoning, undetermined"
T608X1,"Scombroid fish poisoning, accidental (unintentional)"
T608X2,"Scombroid fish poisoning, intentional self-harm"
T608X3,"Scombroid fish poisoning, assault"
T608X4,"Scombroid fish poisoning, undetermined"
T6091,"Other fish poisoning, accidental (unintentional)"
T6092,"Other fish poisoning, intentional self-harm"
T6093,"Other fish poisoning, assault"
T6094,"Other fish poisoning, undetermined"
T6101,"Other shellfish poisoning, accidental (unintentional)"
T6102,"Other shellfish poisoning, intentional self-harm"
T6103,"Other shellfish poisoning, assault"
T6104,"Other shellfish poisoning, undetermined"
T6111,"Toxic effect of other seafood, accidental (unintentional)"
T6112,"Toxic effect of other seafood, intentional self-harm"
T6113,"Toxic effect of other seafood, assault"
T6114,"Toxic effect of other seafood, undetermined"
T61771,"Toxic effect of unspecified seafood, accidental (unintentional)"
T61772,"Toxic effect of unspecified seafood, intentional self-harm"
T61773,"Toxic effect of unspecified seafood, assault"
